"table_schema","table_name","index_name","is_primary","is_unique","is_valid","is_ready","index_type","index_definition","index_size_pretty","index_size_bytes"
"public","bc_item_variant_map","bc_item_variant_map_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX bc_item_variant_map_pkey ON public.bc_item_variant_map USING btree (id)","16 kB",16384
"public","bc_item_variant_map","bc_item_variant_map_sku_code_key","f","t","t","t","btree","CREATE UNIQUE INDEX bc_item_variant_map_sku_code_key ON public.bc_item_variant_map USING btree (sku_code)","16 kB",16384
"public","bc_item_variant_map","idx_bc_item_variant_map_bc_product_id","f","f","t","t","btree","CREATE INDEX idx_bc_item_variant_map_bc_product_id ON public.bc_item_variant_map USING btree (bc_product_id)","16 kB",16384
"public","bc_item_variant_map","idx_bc_item_variant_map_bc_variant_id","f","f","t","t","btree","CREATE INDEX idx_bc_item_variant_map_bc_variant_id ON public.bc_item_variant_map USING btree (bc_variant_id)","16 kB",16384
"public","bc_item_variant_map","idx_bc_item_variant_map_channels_json","f","f","t","t","gin","CREATE INDEX idx_bc_item_variant_map_channels_json ON public.bc_item_variant_map USING gin (bc_channels_json)","24 kB",24576
"public","bc_item_variant_map","idx_bc_item_variant_map_last_checked","f","f","t","t","btree","CREATE INDEX idx_bc_item_variant_map_last_checked ON public.bc_item_variant_map USING btree (bc_last_checked_at)","16 kB",16384
"public","bc_item_variant_map","idx_bc_item_variant_map_sku_code","f","f","t","t","btree","CREATE INDEX idx_bc_item_variant_map_sku_code ON public.bc_item_variant_map USING btree (sku_code)","16 kB",16384
"public","bc_item_variant_map","idx_bc_item_variant_map_status","f","f","t","t","btree","CREATE INDEX idx_bc_item_variant_map_status ON public.bc_item_variant_map USING btree (bc_status)","16 kB",16384
"public","cpq_configuration_references","cpq_configuration_references_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX cpq_configuration_references_pkey ON public.cpq_configuration_references USING btree (id)","16 kB",16384
"public","cpq_configuration_references","cpq_configuration_references_configuration_reference_key","f","t","t","t","btree","CREATE UNIQUE INDEX cpq_configuration_references_configuration_reference_key ON public.cpq_configuration_references USING btree (configuration_reference)","16 kB",16384
"public","cpq_configuration_references","cpq_configuration_references_account_idx","f","f","t","t","btree","CREATE INDEX cpq_configuration_references_account_idx ON public.cpq_configuration_references USING btree (account_code, country_code, created_at DESC)","16 kB",16384
"public","cpq_configuration_references","cpq_configuration_references_lookup_idx","f","f","t","t","btree","CREATE INDEX cpq_configuration_references_lookup_idx ON public.cpq_configuration_references USING btree (configuration_reference, is_active)","16 kB",16384
"public","cpq_configuration_references","cpq_configuration_references_ruleset_idx","f","f","t","t","btree","CREATE INDEX cpq_configuration_references_ruleset_idx ON public.cpq_configuration_references USING btree (ruleset, namespace, created_at DESC)","16 kB",16384
"public","cpq_country_mappings","cpq_country_mappings_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX cpq_country_mappings_pkey ON public.cpq_country_mappings USING btree (id)","16 kB",16384
"public","cpq_country_mappings","cpq_country_mappings_uniq","f","t","t","t","btree","CREATE UNIQUE INDEX cpq_country_mappings_uniq ON public.cpq_country_mappings USING btree (region, sub_region, country_code)","16 kB",16384
"public","cpq_image_management","cpq_image_management_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX cpq_image_management_pkey ON public.cpq_image_management USING btree (id)","16 kB",16384
"public","cpq_image_management","cpq_image_management_feature_label_option_label_option_valu_key","f","t","t","t","btree","CREATE UNIQUE INDEX cpq_image_management_feature_label_option_label_option_valu_key ON public.cpq_image_management USING btree (feature_label, option_label, option_value)","40 kB",40960
"public","cpq_image_management","cpq_image_management_lookup_idx","f","f","t","t","btree","CREATE INDEX cpq_image_management_lookup_idx ON public.cpq_image_management USING btree (feature_label, option_label, option_value) WHERE (is_active = true)","40 kB",40960
"public","cpq_sampler_result","cpq_sampler_result_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX cpq_sampler_result_pkey ON public.cpq_sampler_result USING btree (id)","16 kB",16384
"public","cpq_sampler_result","cpq_sampler_result_ipn_country_unique_idx","f","t","t","t","btree","CREATE UNIQUE INDEX cpq_sampler_result_ipn_country_unique_idx ON public.cpq_sampler_result USING btree (ipn_code, country_code) WHERE ((ipn_code IS NOT NULL) AND (country_code IS NOT NULL))","16 kB",16384
"public","cpq_sampler_result","cpq_sampler_result_filter_idx","f","f","t","t","btree","CREATE INDEX cpq_sampler_result_filter_idx ON public.cpq_sampler_result USING btree (ruleset, account_code, country_code)","16 kB",16384
"public","cpq_sampler_result","cpq_sampler_result_ipn_created_idx","f","f","t","t","btree","CREATE INDEX cpq_sampler_result_ipn_created_idx ON public.cpq_sampler_result USING btree (ipn_code, created_at DESC, id DESC)","16 kB",16384
"public","cpq_sampler_result","cpq_sampler_result_unprocessed_idx","f","f","t","t","btree","CREATE INDEX cpq_sampler_result_unprocessed_idx ON public.cpq_sampler_result USING btree (processed_for_image_sync) WHERE (processed_for_image_sync = false)","16 kB",16384
"public","cpq_setup_account_context","cpq_setup_account_context_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX cpq_setup_account_context_pkey ON public.cpq_setup_account_context USING btree (id)","16 kB",16384
"public","cpq_setup_account_context","cpq_setup_account_context_account_code_key","f","t","t","t","btree","CREATE UNIQUE INDEX cpq_setup_account_context_account_code_key ON public.cpq_setup_account_context USING btree (account_code)","16 kB",16384
"public","cpq_setup_account_context","cpq_setup_account_context_country_currency_uniq","f","t","t","t","btree","CREATE UNIQUE INDEX cpq_setup_account_context_country_currency_uniq ON public.cpq_setup_account_context USING btree (country_code, currency)","16 kB",16384
"public","cpq_setup_ruleset","cpq_setup_ruleset_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX cpq_setup_ruleset_pkey ON public.cpq_setup_ruleset USING btree (id)","16 kB",16384
"public","cpq_setup_ruleset","cpq_setup_ruleset_cpq_ruleset_key","f","t","t","t","btree","CREATE UNIQUE INDEX cpq_setup_ruleset_cpq_ruleset_key ON public.cpq_setup_ruleset USING btree (cpq_ruleset)","16 kB",16384
"public","qpart_compatibility_reference_values","qpart_compatibility_reference_values_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX qpart_compatibility_reference_values_pkey ON public.qpart_compatibility_reference_values USING btree (id)","8192 bytes",8192
"public","qpart_compatibility_reference_values","qpart_compatibility_reference_bike_type_feature_label_optio_key","f","t","t","t","btree","CREATE UNIQUE INDEX qpart_compatibility_reference_bike_type_feature_label_optio_key ON public.qpart_compatibility_reference_values USING btree (bike_type, feature_label, option_value)","8192 bytes",8192
"public","qpart_country_allocation","qpart_country_allocation_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX qpart_country_allocation_pkey ON public.qpart_country_allocation USING btree (id)","2496 kB",2555904
"public","qpart_country_allocation","qpart_country_allocation_part_country_uniq","f","t","t","t","btree","CREATE UNIQUE INDEX qpart_country_allocation_part_country_uniq ON public.qpart_country_allocation USING btree (part_id, country_code)","3128 kB",3203072
"public","qpart_country_allocation","qpart_country_allocation_active_idx","f","f","t","t","btree","CREATE INDEX qpart_country_allocation_active_idx ON public.qpart_country_allocation USING btree (active)","1200 kB",1228800
"public","qpart_country_allocation","qpart_country_allocation_country_idx","f","f","t","t","btree","CREATE INDEX qpart_country_allocation_country_idx ON public.qpart_country_allocation USING btree (country_code)","1160 kB",1187840
"public","qpart_hierarchy_nodes","qpart_hierarchy_nodes_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX qpart_hierarchy_nodes_pkey ON public.qpart_hierarchy_nodes USING btree (id)","16 kB",16384
"public","qpart_hierarchy_nodes","qpart_hierarchy_nodes_parent_code_uniq","f","t","t","t","btree","CREATE UNIQUE INDEX qpart_hierarchy_nodes_parent_code_uniq ON public.qpart_hierarchy_nodes USING btree (parent_id, code)","32 kB",32768
"public","qpart_hierarchy_nodes","qpart_hierarchy_nodes_parent_level_code_uidx","f","t","t","t","btree","CREATE UNIQUE INDEX qpart_hierarchy_nodes_parent_level_code_uidx ON public.qpart_hierarchy_nodes USING btree (COALESCE(parent_id, (0)::bigint), level, code)","32 kB",32768
"public","qpart_metadata_definitions","qpart_metadata_definitions_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX qpart_metadata_definitions_pkey ON public.qpart_metadata_definitions USING btree (id)","16 kB",16384
"public","qpart_metadata_definitions","qpart_metadata_definitions_key_key","f","t","t","t","btree","CREATE UNIQUE INDEX qpart_metadata_definitions_key_key ON public.qpart_metadata_definitions USING btree (key)","16 kB",16384
"public","qpart_part_bike_type_compatibility","qpart_part_bike_type_compatibility_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX qpart_part_bike_type_compatibility_pkey ON public.qpart_part_bike_type_compatibility USING btree (id)","16 kB",16384
"public","qpart_part_bike_type_compatibility","qpart_part_bike_type_compatibility_part_id_bike_type_key","f","t","t","t","btree","CREATE UNIQUE INDEX qpart_part_bike_type_compatibility_part_id_bike_type_key ON public.qpart_part_bike_type_compatibility USING btree (part_id, bike_type)","16 kB",16384
"public","qpart_part_channel_assignment","qpart_part_channel_assignment_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX qpart_part_channel_assignment_pkey ON public.qpart_part_channel_assignment USING btree (id)","16 kB",16384
"public","qpart_part_channel_assignment","qpart_part_channel_assignment_part_channel_uniq","f","t","t","t","btree","CREATE UNIQUE INDEX qpart_part_channel_assignment_part_channel_uniq ON public.qpart_part_channel_assignment USING btree (part_id, channel)","16 kB",16384
"public","qpart_part_channel_assignment","qpart_part_channel_assignment_channel_idx","f","f","t","t","btree","CREATE INDEX qpart_part_channel_assignment_channel_idx ON public.qpart_part_channel_assignment USING btree (channel)","16 kB",16384
"public","qpart_part_compatibility_rules","qpart_part_compatibility_rules_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX qpart_part_compatibility_rules_pkey ON public.qpart_part_compatibility_rules USING btree (id)","16 kB",16384
"public","qpart_part_compatibility_rules","qpart_part_compatibility_rule_part_id_bike_type_feature_lab_key","f","t","t","t","btree","CREATE UNIQUE INDEX qpart_part_compatibility_rule_part_id_bike_type_feature_lab_key ON public.qpart_part_compatibility_rules USING btree (part_id, bike_type, feature_label, option_value)","16 kB",16384
"public","qpart_part_metadata_values","qpart_part_metadata_values_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX qpart_part_metadata_values_pkey ON public.qpart_part_metadata_values USING btree (id)","176 kB",180224
"public","qpart_part_metadata_values","qpart_part_metadata_values_part_id_metadata_definition_id_l_key","f","t","t","t","btree","CREATE UNIQUE INDEX qpart_part_metadata_values_part_id_metadata_definition_id_l_key ON public.qpart_part_metadata_values USING btree (part_id, metadata_definition_id, locale)","296 kB",303104
"public","qpart_part_translations","qpart_part_translations_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX qpart_part_translations_pkey ON public.qpart_part_translations USING btree (id)","136 kB",139264
"public","qpart_part_translations","qpart_part_translations_part_id_locale_key","f","t","t","t","btree","CREATE UNIQUE INDEX qpart_part_translations_part_id_locale_key ON public.qpart_part_translations USING btree (part_id, locale)","184 kB",188416
"public","qpart_parts","qpart_parts_pkey","t","t","t","t","btree","CREATE UNIQUE INDEX qpart_parts_pkey ON public.qpart_parts USING btree (id)","56 kB",57344
"public","qpart_parts","qpart_parts_part_number_key","f","t","t","t","btree","CREATE UNIQUE INDEX qpart_parts_part_number_key ON public.qpart_parts USING btree (part_number)","56 kB",57344
"public","qpart_parts","qpart_parts_search_idx","f","f","t","t","btree","CREATE INDEX qpart_parts_search_idx ON public.qpart_parts USING btree (part_number, default_name)","128 kB",131072
